Image,Label
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00049.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00050.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00051.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00052.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00053.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00054.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00055.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00056.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00057.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00058.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00059.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00060.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00061.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00062.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00063.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00064.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00065.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00066.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00067.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00068.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00069.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00070.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00071.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00072.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00073.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00074.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00075.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00076.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00077.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00078.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00079.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00080.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00081.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00082.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00083.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00084.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00085.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00086.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00087.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00088.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00089.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00090.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00091.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00092.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00093.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00094.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00095.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00096.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00097.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00098.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00099.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00100.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00101.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00102.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00103.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00104.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00105.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00106.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00107.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00108.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00109.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00110.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00111.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00112.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00113.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00114.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00115.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00116.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00117.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00118.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00119.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00120.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00121.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00122.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00123.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00124.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00125.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00126.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00127.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00128.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00129.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00130.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00131.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00132.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00133.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00134.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00135.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00136.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00137.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00138.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00139.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00140.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00141.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00142.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00143.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00144.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00145.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00146.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00147.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00148.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00149.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00150.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00151.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00152.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00153.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00154.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00155.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00156.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00157.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00158.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00159.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00160.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00161.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00162.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00163.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00164.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00165.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00166.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00167.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00168.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00169.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00170.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00171.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00172.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00173.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00174.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00175.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00176.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00177.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00178.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00179.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00180.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00181.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00182.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00183.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00184.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00185.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00186.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00187.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00188.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00189.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00190.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00191.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00192.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00193.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00194.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00195.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00196.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00197.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00198.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00199.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00200.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00201.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00202.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00203.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00204.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00205.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00206.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00207.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00208.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00209.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00210.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00211.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00212.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00213.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00214.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00215.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00216.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00217.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00218.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00219.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00220.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00221.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00222.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00223.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00224.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00225.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00226.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00227.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00228.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00229.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00230.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00231.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00232.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00233.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00234.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00235.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00236.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00237.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00238.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00239.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00240.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00241.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00242.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00243.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00244.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00245.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00246.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00247.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00248.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00249.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00250.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00251.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00252.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00253.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00254.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00255.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00256.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00257.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00258.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00259.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00260.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00261.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00262.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00263.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00264.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00265.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00266.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00267.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00268.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00269.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00270.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00271.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00272.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00273.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00274.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00275.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00276.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00277.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00278.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00279.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00280.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00281.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00282.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00283.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00284.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00285.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00286.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00287.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00288.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00289.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00290.png,Black Sea Sprat
..\data\Fish_Dataset\Black Sea Sprat\Black Sea Sprat\00291.png,Black Sea Sprat
